@RELATION Bullying_2018_cleaned

@ATTRIBUTE attribute_0 {Custom_Age,1,2,3,4,5,6,7,8}
@ATTRIBUTE attribute_1 {Physically_attacked,0,1,2,3,4,5,6,7}
@ATTRIBUTE attribute_2 {Physical_fighting,0,1,2,3,4,5,6,7}
@ATTRIBUTE attribute_3 {Felt_lonely,0,1,2,3,4}
@ATTRIBUTE attribute_4 {Close_friends,0,1,2,3}
@ATTRIBUTE attribute_5 {Miss_school_no_permission,0,1,2,3,4}
@ATTRIBUTE attribute_6 {Other_students_kind_and_helpful,0,1,2,3,4}
@ATTRIBUTE attribute_7 {Parents_understand_problems,0,1,2,3,4}
@ATTRIBUTE attribute_8 {Bullied_in_school_0,0,1}
@ATTRIBUTE attribute_9 {Bullied_in_school_1,0,1}
@ATTRIBUTE attribute_10 {Bullied_outside_school_0,0,1}
@ATTRIBUTE attribute_11 {Bullied_outside_school_1,0,1}
@ATTRIBUTE attribute_12 {Cyber_bullied_0,0,1}
@ATTRIBUTE attribute_13 {Cyber_bullied_1,0,1}
@ATTRIBUTE attribute_14 {Sex_0,0,1}
@ATTRIBUTE attribute_15 {Sex_1,0,1}
@ATTRIBUTE attribute_16 {Most_of_the_time_or_always_felt_lonely_0,0,1}
@ATTRIBUTE attribute_17 {Most_of_the_time_or_always_felt_lonely_1,0,1}
@ATTRIBUTE attribute_18 {Missed_classes_or_school_without_permission_0,0,1}
@ATTRIBUTE attribute_19 {Missed_classes_or_school_without_permission_1,0,1}
@ATTRIBUTE attribute_20 {Were_underweight_No,0,1}
@ATTRIBUTE attribute_21 {Were_underweight_Yes,0,1}
@ATTRIBUTE attribute_22 {Were_overweight_No,0,1}
@ATTRIBUTE attribute_23 {Were_overweight_Yes,0,1}
@ATTRIBUTE attribute_24 {Were_obese_No,0,1}
@ATTRIBUTE attribute_25 {Were_obese_Yes,0,1}

@DATA
Custom_Age,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Bullied_in_school_0,Bullied_in_school_1,Bullied_outside_school_0,Bullied_outside_school_1,Cyber_bullied_0,Cyber_bullied_1,Sex_0,Sex_1,Most_of_the_time_or_always_felt_lonely_0,Most_of_the_time_or_always_felt_lonely_1,Missed_classes_or_school_without_permission_0,Missed_classes_or_school_without_permission_1,Were_underweight_No,Were_underweight_Yes,Were_overweight_No,Were_overweight_Yes,Were_obese_No,Were_obese_Yes
3,0,0,0,3,0,2,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,0,0,0,3,0,2,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,0,1,3,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,1,0,3,0,3,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,1,0,2,3,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,0,0,1,3,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,1,2,0,3,3,3,3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
4,0,0,4,0,0,2,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
5,0,1,0,3,2,3,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
3,7,1,2,3,0,0,4,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,2,3,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,1,4,3,0,2,2,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1,0,0,0,3,0,4,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,0,0,1,3,0,1,3,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
3,0,0,0,3,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
3,0,0,2,3,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,2,3,3,0,1,4,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
4,0,2,3,2,0,4,2,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
3,0,0,2,0,0,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,0,1,0,3,0,3,3,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
4,1,3,4,3,2,4,4,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
3,0,0,0,3,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
